Extracted Sorting ID 052826,Cage Card 052826,DOB 052826,Sex 052826,Strain,Notes,Source Page,Position on Page,Raw Card Text
571,CC-24575-6,10/25/2025,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,7,2,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 571 572 573 556 Created 3/24/2026 2:56pm W-4982 • CC-24575-6 • External ID:
572,CC-24575-6,10/25/2025,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,7,2,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 571 572 573 556 Created 3/24/2026 2:56pm W-4982 • CC-24575-6 • External ID:
573,CC-24575-6,10/25/2025,MALE,Kcnt1-YH; SST-cre (het),329x302 | 571 | 572 | 573 | 556,7,2,X0-145 Species MOUSE # Animals 4 Census 11/15/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre (het) Code DOB 2025-10-25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329x302 571 572 573 556 Created 3/24/2026 2:56pm W-4982 • CC-24575-6 • External ID:
576,CC-27511-1,9/14/2025,M,Kcnt1YH; SST-Cre,329 (M) x 302 (F) | 576 (previously 533,13,1,X0-145 Species MOUSE # Animals 1 Census 04/16/26 Sex M P.I. Barry J. Strain Kcnt1YH; SST-Cre Code DOB 9/14/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Jeremy Barry Notes 329 (M) x 302 (F) 576 (previously 533 Created 4/16/2026 3:08pm SPLIT-6465 • CC-27511-1 • External ID:
577,CC-23782-8,9/14/2025,M,Kcnt1YH; SST-Cre,329 (M) x 302 (F) | 577 (previously 534),5,3,X0-145 Species MOUSE # Animals 1 Census 10/06/25 Sex M P.I. Barry J. Strain Kcnt1YH; SST-Cre Code DOB 9/14/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Jeremy Barry Notes 329 (M) x 302 (F) 577 (previously 534) Created 5/20/2026 10:34am • CC-23782-8 • External ID:
578,CC-28266-1,9/14/2025,M,Kcnt1YH; SST-Cre,329 (M) x 302 (F) | 578 (previously 535),15,2,X0-145 Species MOUSE # Animals 1 Census 05/20/26 Sex M P.I. Barry J. Strain Kcnt1YH; SST-Cre Code DOB 9/14/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Jeremy Barry Notes 329 (M) x 302 (F) 578 (previously 535) Created 5/20/2026 10:34am SPLIT-6742 • CC-28266-1 • External ID:
579,CC-27241-1,3/14/2026,FEMALE,FID: Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 579 | 580,11,3,X0-145 Species MOUSE # Animals 2 Census 04/04/26 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 579 580 Created 4/4/2026 11:43am W-5844 • CC-27241-1 • External ID:
580,CC-27241-1,3/14/2026,FEMALE,FID: Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 579 | 580,11,3,X0-145 Species MOUSE # Animals 2 Census 04/04/26 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 579 580 Created 4/4/2026 11:43am W-5844 • CC-27241-1 • External ID:
583,CC-27240-2,3/14/2026,MALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 583 | 584 | 1607 | 1608 | 1609,11,2,X0-145 Species MOUSE # Animals 5 Census 04/04/26 Sex MALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 583 584 1607 1608 1609 Created 5/21/2026 2:22pm W-5844 • CC-27240-2 • External ID:
584,CC-27240-2,3/14/2026,MALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 583 | 584 | 1607 | 1608 | 1609,11,2,X0-145 Species MOUSE # Animals 5 Census 04/04/26 Sex MALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 583 584 1607 1608 1609 Created 5/21/2026 2:22pm W-5844 • CC-27240-2 • External ID:
588,CC-27733-4,4/6/2026,FEMALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 588 | 1610 | 1611 | 1612,13,3,X0-145 Species MOUSE # Animals 4 Census 04/27/26 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 588 1610 1611 1612 Created 5/28/2026 9:59am W-6039 • CC-27733-4 • External ID:
591,CC-28501-1,4/6/2026,FEMALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 591,17,2,X0-145 Species MOUSE # Animals 1 Census 05/28/26 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 591 Created 5/28/2026 9:59am SPLIT-6853 • CC-28501-1 • External ID:
594,CC-27734-3,4/6/2026,MALE,FID: Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 594 | 595,14,1,X0-145 Species MOUSE # Animals 2 Census 04/27/26 Sex MALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 594 595 Created 5/28/2026 10:00am W-6039 • CC-27734-3 • External ID:
595,CC-27734-3,4/6/2026,MALE,FID: Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 594 | 595,14,1,X0-145 Species MOUSE # Animals 2 Census 04/27/26 Sex MALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 594 595 Created 5/28/2026 10:00am W-6039 • CC-27734-3 • External ID:
597,CC-28080-3,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 0597 | 0598 | 0599 - no eartag,14,3,X0-145 Species MOUSE # Animals 3 Census 05/09/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 0597 0598 0599 - no eartag Created 5/26/2026 3:45pm W-6131 • CC-28080-3 • External ID:
598,CC-28080-3,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 0597 | 0598 | 0599 - no eartag,14,3,X0-145 Species MOUSE # Animals 3 Census 05/09/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 0597 0598 0599 - no eartag Created 5/26/2026 3:45pm W-6131 • CC-28080-3 • External ID:
599,CC-28080-3,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 0597 | 0598 | 0599 - no eartag,14,3,X0-145 Species MOUSE # Animals 3 Census 05/09/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 0597 0598 0599 - no eartag Created 5/26/2026 3:45pm W-6131 • CC-28080-3 • External ID:
1600,CC-28241-2,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,"parents | 575 (M) x 546 (F) | 1600 | 1601 | 1603 - no eartag, black coat",15,1,"X0-145 Species MOUSE # Animals 3 Census 05/18/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 1600 1601 1603 - no eartag, black coat Created 5/26/2026 3:45pm SPLIT-6726 • CC-28241-2 • External ID:"
1601,CC-28241-2,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,"parents | 575 (M) x 546 (F) | 1600 | 1601 | 1603 - no eartag, black coat",15,1,"X0-145 Species MOUSE # Animals 3 Census 05/18/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 1600 1601 1603 - no eartag, black coat Created 5/26/2026 3:45pm SPLIT-6726 • CC-28241-2 • External ID:"
1602,CC-28433-1,4/18/2026,MALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 1602 | 1606,16,3,X0-145 Species MOUSE # Animals 2 Census 05/26/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 1602 1606 Created 5/26/2026 3:44pm SPLIT-6831 • CC-28433-1 • External ID:
1603,CC-28241-2,4/18/2026,FEMALE,Kcnt1-YH; SST-cre,"parents | 575 (M) x 546 (F) | 1600 | 1601 | 1603 - no eartag, black coat",15,1,"X0-145 Species MOUSE # Animals 3 Census 05/18/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 1600 1601 1603 - no eartag, black coat Created 5/26/2026 3:45pm SPLIT-6726 • CC-28241-2 • External ID:"
1604,CC-28079-3,4/18/2026,MALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 1604 | 1605,14,2,X0-145 Species MOUSE # Animals 2 Census 05/09/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 1604 1605 Created 5/26/2026 3:44pm W-6131 • CC-28079-3 • External ID:
1605,CC-28079-3,4/18/2026,MALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 1604 | 1605,14,2,X0-145 Species MOUSE # Animals 2 Census 05/09/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 1604 1605 Created 5/26/2026 3:44pm W-6131 • CC-28079-3 • External ID:
1606,CC-28433-1,4/18/2026,MALE,Kcnt1-YH; SST-cre,parents | 575 (M) x 546 (F) | 1602 | 1606,16,3,X0-145 Species MOUSE # Animals 2 Census 05/26/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH; SST-cre Code DOB 2026-04-18 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 575 (M) x 546 (F) 1602 1606 Created 5/26/2026 3:44pm SPLIT-6831 • CC-28433-1 • External ID:
1607,CC-27240-2,3/14/2026,MALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 583 | 584 | 1607 | 1608 | 1609,11,2,X0-145 Species MOUSE # Animals 5 Census 04/04/26 Sex MALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 583 584 1607 1608 1609 Created 5/21/2026 2:22pm W-5844 • CC-27240-2 • External ID:
1608,CC-27240-2,3/14/2026,MALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 583 | 584 | 1607 | 1608 | 1609,11,2,X0-145 Species MOUSE # Animals 5 Census 04/04/26 Sex MALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 583 584 1607 1608 1609 Created 5/21/2026 2:22pm W-5844 • CC-27240-2 • External ID:
1609,CC-27240-2,3/14/2026,MALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 583 | 584 | 1607 | 1608 | 1609,11,2,X0-145 Species MOUSE # Animals 5 Census 04/04/26 Sex MALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-03-14 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 583 584 1607 1608 1609 Created 5/21/2026 2:22pm W-5844 • CC-27240-2 • External ID:
1610,CC-27733-4,4/6/2026,FEMALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 588 | 1610 | 1611 | 1612,13,3,X0-145 Species MOUSE # Animals 4 Census 04/27/26 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 588 1610 1611 1612 Created 5/28/2026 9:59am W-6039 • CC-27733-4 • External ID:
1611,CC-27733-4,4/6/2026,FEMALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 588 | 1610 | 1611 | 1612,13,3,X0-145 Species MOUSE # Animals 4 Census 04/27/26 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 588 1610 1611 1612 Created 5/28/2026 9:59am W-6039 • CC-27733-4 • External ID:
1612,CC-27733-4,4/6/2026,FEMALE,FID: Kcnt1-YH;PV-Cre,parents 565 (M) x 557 (F) | 588 | 1610 | 1611 | 1612,13,3,X0-145 Species MOUSE # Animals 4 Census 04/27/26 Sex FEMALE P.I. Barry J. Strain FID: Kcnt1-YH;PV-Cre Code DOB 2026-04-06 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes parents 565 (M) x 557 (F) 588 1610 1611 1612 Created 5/28/2026 9:59am W-6039 • CC-27733-4 • External ID:
1613,CC-28383-1,5/1/2026,MALE,Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 1613 | 1614 | 1615,15,3,X0-145 Species MOUSE # Animals 3 Census 05/22/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-05-01 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 1613 1614 1615 Created 5/22/2026 1:41pm W-6205 • CC-28383-1 • External ID:
1614,CC-28383-1,5/1/2026,MALE,Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 1613 | 1614 | 1615,15,3,X0-145 Species MOUSE # Animals 3 Census 05/22/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-05-01 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 1613 1614 1615 Created 5/22/2026 1:41pm W-6205 • CC-28383-1 • External ID:
1615,CC-28383-1,5/1/2026,MALE,Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 1613 | 1614 | 1615,15,3,X0-145 Species MOUSE # Animals 3 Census 05/22/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-05-01 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 1613 1614 1615 Created 5/22/2026 1:41pm W-6205 • CC-28383-1 • External ID:
1616,CC-28384-1,5/1/2026,FEMALE,Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 1616 | 1617 | 1618 | 1619 | 1620,16,1,X0-145 Species MOUSE # Animals 5 Census 05/22/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-05-01 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 1616 1617 1618 1619 1620 Created 5/22/2026 1:41pm W-6205 • CC-28384-1 • External ID:
1617,CC-28384-1,5/1/2026,FEMALE,Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 1616 | 1617 | 1618 | 1619 | 1620,16,1,X0-145 Species MOUSE # Animals 5 Census 05/22/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-05-01 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 1616 1617 1618 1619 1620 Created 5/22/2026 1:41pm W-6205 • CC-28384-1 • External ID:
1618,CC-28384-1,5/1/2026,FEMALE,Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 1616 | 1617 | 1618 | 1619 | 1620,16,1,X0-145 Species MOUSE # Animals 5 Census 05/22/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-05-01 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 1616 1617 1618 1619 1620 Created 5/22/2026 1:41pm W-6205 • CC-28384-1 • External ID:
1619,CC-28384-1,5/1/2026,FEMALE,Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 1616 | 1617 | 1618 | 1619 | 1620,16,1,X0-145 Species MOUSE # Animals 5 Census 05/22/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-05-01 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 1616 1617 1618 1619 1620 Created 5/22/2026 1:41pm W-6205 • CC-28384-1 • External ID:
1620,CC-28384-1,5/1/2026,FEMALE,Kcnt1-YH;PV-Cre,565 (M) x 557 (F) | 1616 | 1617 | 1618 | 1619 | 1620,16,1,X0-145 Species MOUSE # Animals 5 Census 05/22/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 2026-05-01 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 565 (M) x 557 (F) 1616 1617 1618 1619 1620 Created 5/22/2026 1:41pm W-6205 • CC-28384-1 • External ID:
